Method,AUDC,QNC,Peak_Accuracy
CoRE,0.7685581306173261,0.3246260101815312,0.7951808201485309
CARROT-Linear,0.7647949802064952,0.3827098109230661,0.7950678075556991
MIRT,0.7622007367698274,0.4113721538820396,0.7983209557636421
