embedding_model,lambda_idx,cost,performance
all_minilm_l6,0,2574.1205779786887,0.7928317726832417
all_minilm_l6,1,2547.9700565062963,0.79216984178237
all_minilm_l6,2,2521.466322247336,0.791717791411043
all_minilm_l6,3,2499.089292864062,0.7915240555376172
all_minilm_l6,4,2466.6980029060383,0.7913787536325475
all_minilm_l6,5,2449.628132063287,0.7903454956409428
all_minilm_l6,6,2427.454412334517,0.7898934452696158
all_minilm_l6,7,2401.950282531482,0.7884565708750405
all_minilm_l6,8,2372.3215983209557,0.7886503067484661
all_minilm_l6,9,2347.556722634808,0.7886987407168227
all_minilm_l6,10,2318.119886987407,0.7873587342589602
all_minilm_l6,11,2294.9336212463672,0.787197287697772
all_minilm_l6,12,2252.9525298676135,0.7867613819825638
all_minilm_l6,13,2229.514084597998,0.7855182434614143
all_minilm_l6,14,2197.004588311269,0.7845011301259283
all_minilm_l6,15,2169.513823054569,0.7832902809170165
all_minilm_l6,16,2138.228963513077,0.7829996771068776
all_minilm_l6,17,2105.7285098482403,0.7818049725540845
all_minilm_l6,18,2080.8995108169197,0.7806264126574105
all_minilm_l6,19,2045.8113109460771,0.7794155634484987
all_minilm_l6,20,2020.6604391346464,0.7778333871488539
all_minilm_l6,21,1989.174446238295,0.7767839845011301
all_minilm_l6,22,1958.9210510171133,0.7758153051340008
all_minilm_l6,23,1926.4298401679043,0.7746528898934454
all_minilm_l6,24,1888.011914756216,0.7728769777203747
all_minilm_l6,25,1858.4926557959316,0.7723119147562156
all_minilm_l6,26,1828.5167985146918,0.7721181788827898
all_minilm_l6,27,1782.2770406845332,0.7702292541168871
all_minilm_l6,28,1751.1221488537294,0.7679286406199547
all_minilm_l6,29,1720.9639409105587,0.7678479173393608
all_minilm_l6,30,1680.7701049402647,0.7665563448498546
all_minilm_l6,31,1640.846186632225,0.7652163383919922
all_minilm_l6,32,1611.7399305779788,0.7648934452696158
all_minilm_l6,33,1577.746764610914,0.7635372941556345
all_minilm_l6,34,1536.0980545689376,0.7620035518243462
all_minilm_l6,35,1504.5341443332256,0.7602599289635131
all_minilm_l6,36,1466.4712060058118,0.7584355828220859
all_minilm_l6,37,1428.503810138844,0.755755569906361
all_minilm_l6,38,1385.1363706813045,0.7539635130771714
all_minilm_l6,39,1350.6865983209557,0.7528495318049725
all_minilm_l6,40,1316.9840167904422,0.7513803680981596
all_minilm_l6,41,1286.1786793671295,0.7504601226993866
all_minilm_l6,42,1254.8227575072651,0.7487810784630287
all_minilm_l6,43,1227.9727316758153,0.7471181788827898
all_minilm_l6,44,1192.1325185663545,0.7453099773974815
all_minilm_l6,45,1157.4253309654505,0.7435340652244108
all_minilm_l6,46,1125.0641863093315,0.7426783984501131
all_minilm_l6,47,1091.3338440426219,0.7412738133677754
all_minilm_l6,48,1061.0246948659992,0.7396270584436552
all_minilm_l6,49,1033.6749112043915,0.7378188569583468
all_minilm_l6,50,1002.9619373587343,0.7367210203422667
all_minilm_l6,51,971.5919696480465,0.7355263157894737
all_minilm_l6,52,941.5285421375524,0.73420245398773
all_minilm_l6,53,911.7019583467871,0.732814013561511
all_minilm_l6,54,882.4477139166937,0.7310865353567969
all_minilm_l6,55,846.3775750726509,0.7292460445592509
all_minilm_l6,56,822.8382273167581,0.7275831449790119
all_minilm_l6,57,795.8717210203422,0.727211817888279
all_minilm_l6,58,768.8651065547303,0.7249677106877624
all_minilm_l6,59,743.2596593477559,0.7236761381982564
all_minilm_l6,60,713.4345899257345,0.7215288989344528
all_minilm_l6,61,692.148915079109,0.7203584113658379
all_minilm_l6,62,676.9236906683888,0.7191959961252825
all_minilm_l6,63,648.429380045205,0.7170487568614788
all_minilm_l6,64,637.4678543752018,0.7166289958023895
all_minilm_l6,65,622.9614901517597,0.7162415240555375
all_minilm_l6,66,597.1334888601873,0.714740071036487
all_minilm_l6,67,582.4344785276074,0.7140781401356151
all_minilm_l6,68,566.971609622215,0.7134807878592186
all_minilm_l6,69,544.820324507588,0.7118501775912174
all_minilm_l6,70,528.6772699386503,0.7116402970616725
all_minilm_l6,71,504.5629221827575,0.7103487245721666
all_minilm_l6,72,496.190844365515,0.7100096867936712
all_minilm_l6,73,483.2593639005489,0.7097190829835325
all_minilm_l6,74,473.4292137552471,0.709299321924443
all_minilm_l6,75,460.1737665482725,0.7080238940910558
all_minilm_l6,76,446.46873425896024,0.7074911204391348
all_minilm_l6,77,436.10221504681954,0.7065547303842428
all_minilm_l6,78,424.32536325476264,0.7052793025508557
all_minilm_l6,79,412.3337649338069,0.7046335163061027
all_minilm_l6,80,406.29618663222476,0.7041653212786568
all_minilm_l6,81,396.7821795285761,0.7034065224410719
all_minilm_l6,82,390.2032434614142,0.7036002583144979
all_minilm_l6,83,377.74653374233134,0.7021956732321601
all_minilm_l6,84,369.8852615434291,0.7016306102680012
all_minilm_l6,85,362.3376896997095,0.7014045850823377
all_minilm_l6,86,354.0267549241201,0.7008879560865352
all_minilm_l6,87,349.1040587665482,0.7005812076202776
all_minilm_l6,88,341.3254714239587,0.7002260251856636
all_minilm_l6,89,336.7109783661608,0.6998708427510494
all_minilm_l6,90,327.2462689699709,0.6990474652889893
all_minilm_l6,91,319.17896028414594,0.698450113012593
all_minilm_l6,92,311.46490474652893,0.6978204714239585
all_minilm_l6,93,305.6562253793994,0.6974814336454634
all_minilm_l6,94,300.3766725863739,0.6976267355505328
all_minilm_l6,95,296.7750403616403,0.6971746851792057
all_minilm_l6,96,293.27170164675493,0.6967226348078788
all_minilm_l6,97,288.7916742008395,0.6967549241201163
all_minilm_l6,98,281.97831611236677,0.696044559250888
all_minilm_l6,99,277.45303519535037,0.695770100096868
all_mpnet_base,0,2412.2928172424927,0.795495640942848
all_mpnet_base,1,2388.061701646755,0.7950920245398772
all_mpnet_base,2,2369.9516451404584,0.7943493703584114
all_mpnet_base,3,2342.2275750726512,0.7932515337423313
all_mpnet_base,4,2313.864357442686,0.792638036809816
all_mpnet_base,5,2288.2869551178555,0.7914756215692607
all_mpnet_base,6,2255.7263254762674,0.790975137229577
all_mpnet_base,7,2231.2363287051985,0.7899580238940911
all_mpnet_base,8,2205.1587649338067,0.789231514368744
all_mpnet_base,9,2178.934152405554,0.7882789796577333
all_mpnet_base,10,2144.210649015176,0.7873748789150791
all_mpnet_base,11,2115.0845705521474,0.786922828543752
all_mpnet_base,12,2091.171411042945,0.7862447529867613
all_mpnet_base,13,2067.501583790765,0.7854052308685825
all_mpnet_base,14,2041.414596383597,0.78406522441072
all_mpnet_base,15,2013.9026251210848,0.78324184694866
all_mpnet_base,16,1985.7628915079108,0.7821117210203423
all_mpnet_base,17,1953.6223135292216,0.7804649660962221
all_mpnet_base,18,1921.1480416532127,0.7782208588957054
all_mpnet_base,19,1882.7098433968356,0.77650952534711
all_mpnet_base,20,1851.8597642880204,0.7754601226993865
all_mpnet_base,21,1813.432282854375,0.7740393929609298
all_mpnet_base,22,1778.29583144979,0.7722473361317406
all_mpnet_base,23,1749.1702324830478,0.7700516628995804
all_mpnet_base,24,1716.7106522441075,0.7687923797223118
all_mpnet_base,25,1683.5780206651598,0.7682918953826282
all_mpnet_base,26,1649.7272473361318,0.7670003228931224
all_mpnet_base,27,1611.1183984501129,0.765288989344527
all_mpnet_base,28,1583.3379463997414,0.7640135615111399
all_mpnet_base,29,1555.0512124636743,0.7627865676461093
all_mpnet_base,30,1527.5434872457215,0.7620277688085244
all_mpnet_base,31,1486.5126945431064,0.7598966742008395
all_mpnet_base,32,1455.4984824023247,0.7581853406522442
all_mpnet_base,33,1417.875799160478,0.7572489505973522
all_mpnet_base,34,1386.9623764933808,0.7554568937681627
all_mpnet_base,35,1354.1376235066193,0.7551824346141428
all_mpnet_base,36,1315.91630610268,0.7548111075234097
all_mpnet_base,37,1276.7101646754925,0.7521472392638036
all_mpnet_base,38,1237.3429480142074,0.7502098805295447
all_mpnet_base,39,1200.249309008718,0.7488133677752663
all_mpnet_base,40,1165.0347336131742,0.7474895059735227
all_mpnet_base,41,1141.3969034549564,0.7464723926380368
all_mpnet_base,42,1113.2251033257992,0.7453907006780756
all_mpnet_base,43,1077.7264627058444,0.7455037132709073
all_mpnet_base,44,1051.2548078785921,0.7445350339037778
all_mpnet_base,45,1023.6933532450759,0.7423393606716178
all_mpnet_base,46,990.7114756215692,0.7407733290280918
all_mpnet_base,47,962.826314175008,0.7403535679690023
all_mpnet_base,48,935.8414094284791,0.7392880206651598
all_mpnet_base,49,904.4390603810137,0.7382224733613176
all_mpnet_base,50,881.8415611882467,0.737156926057475
all_mpnet_base,51,854.1353390377785,0.7361882466903454
all_mpnet_base,52,838.6204843396836,0.7352518566354536
all_mpnet_base,53,821.8209396189861,0.733201485308363
all_mpnet_base,54,799.013036809816,0.731716176945431
all_mpnet_base,55,776.5882063287052,0.730247013238618
all_mpnet_base,56,758.7724297707458,0.7298756861478851
all_mpnet_base,57,733.9944849854697,0.7275508556667745
all_mpnet_base,58,715.8948966742008,0.7262754278333872
all_mpnet_base,59,691.9602583144979,0.724644817565386
all_mpnet_base,60,671.9510025831449,0.7238214401033258
all_mpnet_base,61,652.9120439134647,0.7225783015821763
all_mpnet_base,62,630.736018727801,0.7216742008395222
all_mpnet_base,63,614.9917242492735,0.7205602195673232
all_mpnet_base,64,603.0651017113336,0.7198498546980949
all_mpnet_base,65,587.7918695511785,0.7181385211494995
all_mpnet_base,66,573.7303406522441,0.7175088795608654
all_mpnet_base,67,557.1015805618341,0.71607200516629
all_mpnet_base,68,541.4738537294155,0.7152647723603488
all_mpnet_base,69,521.754134646432,0.7136987407168227
