method,lambda,cost,performance
CARROT-Linear,1.4141414141414141e-05,2211.1726670971907,0.789384888601873
MIRT,1.4141414141414141e-05,2280.220810461737,0.7928317726832417
CoRE,1.5151515151515151e-05,2082.9827736519214,0.7909832095576365
CARROT-Linear,1.5151515151515151e-05,2187.7637310300292,0.7889166935744268
MIRT,1.5151515151515151e-05,2235.383919922506,0.7929609299321925
CoRE,1.616161616161616e-05,2055.5655069422023,0.7907733290280916
CARROT-Linear,1.616161616161616e-05,2163.032894736842,0.7883031966419115
MIRT,1.616161616161616e-05,2188.7657571843724,0.7915402001937359
CoRE,1.717171717171717e-05,2027.972812399096,0.7900952534711011
CARROT-Linear,1.717171717171717e-05,2143.1434775589278,0.7883031966419115
MIRT,1.717171717171717e-05,2139.7616322247336,0.7899418792379722
CoRE,1.8181818181818182e-05,2006.0022844688406,0.7894979011947045
CARROT-Linear,1.8181818181818182e-05,2124.174741685502,0.7873022279625442
MIRT,1.8181818181818182e-05,2094.401428802066,0.7891830804003875
CoRE,1.919191919191919e-05,1978.8381013884407,0.789546335163061
CARROT-Linear,1.919191919191919e-05,2099.8120116241525,0.786608007749435
MIRT,1.919191919191919e-05,2049.7564740071034,0.7894575395544076
CoRE,2.0202020202020203e-05,1945.3539877300616,0.7888359702938327
CARROT-Linear,2.0202020202020203e-05,2081.678656764611,0.7857039070067808
MIRT,2.0202020202020203e-05,1992.3040200193736,0.7884081369066839
CoRE,2.121212121212121e-05,1922.966475621569,0.7884646432030997
CARROT-Linear,2.121212121212121e-05,2059.60249434937,0.7844607684856314
MIRT,2.121212121212121e-05,1950.8411688731028,0.7863093316112366
CoRE,2.2222222222222223e-05,1902.0581449790118,0.7873345172747821
CARROT-Linear,2.2222222222222223e-05,2039.224588311269,0.7839925734581854
MIRT,2.2222222222222223e-05,1913.6409105586051,0.7848401679044237
CoRE,2.3232323232323232e-05,1874.0557394252503,0.7871730707135938
CARROT-Linear,2.3232323232323232e-05,2018.1236196319016,0.7835243784307394
MIRT,2.3232323232323232e-05,1858.080973522764,0.7829512431385212
CoRE,2.424242424242424e-05,1846.9935824991928,0.7859460768485631
CARROT-Linear,2.424242424242424e-05,1997.7587665482727,0.7824103971585405
MIRT,2.424242424242424e-05,1828.1102518566356,0.781126896997094
CoRE,2.5252525252525253e-05,1821.1348643848885,0.784670649015176
CARROT-Linear,2.5252525252525253e-05,1973.0445915402001,0.7816838876331934
MIRT,2.5252525252525253e-05,1787.6337181143042,0.7802389409105587
CoRE,2.626262626262626e-05,1793.4492492734905,0.784767516951889
CARROT-Linear,2.626262626262626e-05,1950.6316193090088,0.7818453341943816
MIRT,2.626262626262626e-05,1752.9993622860832,0.7787051985792705
CoRE,2.7272727272727273e-05,1767.9146028414596,0.7844284791733936
CARROT-Linear,2.7272727272727273e-05,1919.2364788505006,0.780521472392638
MIRT,2.7272727272727273e-05,1724.6711414271876,0.7776719405876654
CoRE,2.8282828282828282e-05,1740.1307636422343,0.7837261866322248
CARROT-Linear,2.8282828282828282e-05,1904.8030997739745,0.7798433968356474
MIRT,2.8282828282828282e-05,1693.2905634484985,0.7756700032289312
CoRE,2.9292929292929294e-05,1713.2486519212139,0.7836777526638683
CARROT-Linear,2.9292929292929294e-05,1881.940313206329,0.7796335163061026
MIRT,2.9292929292929294e-05,1666.631958346787,0.7745721666128512
CoRE,3.0303030303030302e-05,1691.5356474007106,0.7827897965773329
CARROT-Linear,3.0303030303030302e-05,1862.024451081692,0.7793832741362609
MIRT,3.0303030303030302e-05,1639.2971585405228,0.7733613174039393
CoRE,3.131313131313131e-05,1666.592670326122,0.782886664514046
CARROT-Linear,3.131313131313131e-05,1838.7291088149823,0.7783984501130126
MIRT,3.131313131313131e-05,1613.3812883435583,0.7707458831126897
CoRE,3.232323232323232e-05,1647.7779221827575,0.7824023248304812
CARROT-Linear,3.232323232323232e-05,1813.2375121084924,0.7777526638682596
MIRT,3.232323232323232e-05,1581.2219809493056,0.7698256377139168
